Day,January,February,March,April,May,June,July,August,September,October,November,December
1,406,274,257,195,177,198,92,153,114,148,393,306
2,418,293,260,219,153,173,106,235,106,202,370,297
3,382,243,203,207,160,174,114,213,73,143,340,328
4,366,256,178,203,139,183,137,216,112,201,171,356
5,390,291,172,290,173,169,123,241,90,256,426,331
6,405,287,167,208,269,136,147,133,137,209,338,349
7,355,261,185,143,211,164,151,113,91,181,281,348
8,288,308,245,141,208,179,182,86,86,246,390,347
9,359,335,280,120,163,127,157,88,61,251,423,374
10,352,341,170,230,190,158,134,102,84,241,401,403
11,309,304,170,141,256,183,106,96,79,210,405,413
12,298,178,214,99,304,296,143,83,90,154,399,392
13,359,191,217,188,215,445,99,94,103,262,409,194
14,321,187,267,217,130,431,76,117,102,204,312,249
15,331,187,297,224,164,447,76,120,118,246,217,261
16,255,235,256,285,190,369,87,86,121,291,285,282
17,353,256,186,244,243,289,91,84,135,313,267,337
18,400,257,169,228,225,171,106,80,150,297,311,353
19,406,294,173,244,242,121,88,89,154,276,330,353
20,323,296,217,246,199,177,80,137,164,326,374,394
21,276,308,289,356,183,226,111,87,143,292,374,386
22,342,300,186,211,212,236,61,78,54,272,273,421
23,324,302,151,160,301,218,67,69,62,254,337,450
24,270,320,175,254,252,183,90,80,52,328,249,448
25,243,266,195,266,251,192,78,89,55,331,262,409
26,261,156,183,313,235,110,74,78,88,361,336,384
27,286,160,230,310,277,93,54,62,151,350,352,399
28,300,272,255,301,275,76,57,71,197,366,316,392
29,302,,213,248,285,72,90,68,219,367,358,385
30,270,,218,209,281,96,115,78,158,401,352,415
31,244,,256,,208,,132,127,,358,,420
