Day,January,February,March,April,May,June,July,August,September,October,November,December
1,259,164,181,106,91,96,69,92,140,146,364,372
2,357,194,226,128,76,120,71,91,136,144,392,352
3,385,199,152,179,107,121,118,75,136,154,468,313
4,343,242,129,109,113,171,144,105,136,176,415,310
5,340,244,142,135,183,166,96,85,121,177,453,297
6,400,265,142,142,234,139,72,101,106,211,421,285
7,377,285,173,142,173,239,77,102,105,215,395,320
8,375,144,215,172,131,161,71,110,84,164,426,325
9,434,212,119,217,197,152,64,118,55,174,437,322
10,407,187,187,195,203,134,65,133,46,179,278,314
11,308,275,200,260,274,130,69,123,54,191,220,317
12,371,175,216,213,227,169,77,126,90,218,218,355
13,378,135,231,211,235,205,77,105,106,255,358,378
14,353,132,219,249,259,213,73,114,121,256,396,326
15,213,190,213,235,162,154,100,108,100,232,398,323
16,270,270,259,229,259,119,69,109,85,206,418,355
17,288,367,188,206,336,119,85,131,63,87,404,331
18,306,371,184,235,149,90,113,153,63,125,318,330
19,338,331,162,236,152,75,77,125,73,118,301,286
20,226,324,154,159,186,104,93,91,97,195,348,285
21,294,245,75,129,215,91,109,91,113,246,372,361
22,407,302,164,141,199,110,96,106,102,311,395,409
23,335,227,151,118,198,132,73,71,108,263,390,449
24,237,171,205,160,158,169,77,85,131,220,415,411
25,160,225,78,156,106,71,102,117,118,243,388,383
26,298,291,164,210,98,93,73,152,152,256,397,377
27,229,260,146,219,110,86,92,186,129,259,395,380
28,236,219,147,150,134,93,81,144,139,303,311,358
29,331,,198,216,136,101,59,162,157,324,289,381
30,207,,170,132,115,70,65,154,166,346,398,400
31,192,,73,,85,,89,146,,357,,382
