Day,January,February,March,April,May,June,July,August,September,October,November,December
1,437,232,90,73,146,104,117,81,53,152,364,367
2,417,244,205,69,112,124,127,61,69,180,293,373
3,352,270,205,79,93,122,156,67,84,189,302,341
4,334,310,195,87,94,153,105,62,82,184,343,382
5,330,312,79,102,119,111,90,86,101,179,450,404
6,325,231,64,142,139,102,90,69,70,178,406,389
7,254,295,67,90,127,107,65,54,93,215,427,400
8,266,289,164,83,134,108,51,87,79,208,416,383
9,203,285,123,86,144,139,78,74,105,202,477,358
10,255,309,188,118,121,152,67,72,108,221,476,284
11,288,323,116,124,116,141,68,75,136,216,344,295
12,348,320,127,94,125,153,71,63,144,261,314,356
13,366,241,173,126,150,123,72,50,142,300,339,305
14,283,173,108,130,149,154,127,58,152,276,414,160
15,218,167,131,155,123,115,124,67,144,312,435,230
16,281,247,139,180,179,118,72,52,151,237,221,262
17,265,293,157,105,200,109,79,66,120,287,171,256
18,243,252,151,98,206,95,92,72,108,254,211,281
19,277,272,186,85,212,148,65,57,118,244,283,290
20,269,230,192,119,166,149,60,50,148,223,296,321
21,364,144,186,87,147,98,61,57,142,256,251,332
22,370,100,191,131,199,92,59,53,115,296,274,418
23,211,225,124,122,181,76,65,53,76,366,295,433
24,151,142,122,139,172,66,100,45,104,345,379,423
25,250,249,77,98,153,85,67,61,143,349,413,357
26,325,274,92,117,154,105,78,57,165,353,302,337
27,345,233,69,89,156,108,100,64,117,312,137,396
28,243,198,45,100,188,209,72,79,159,297,231,253
29,194,,62,125,101,230,90,77,177,395,256,265
30,202,,71,138,78,102,55,70,156,374,318,290
31,190,,76,,72,,75,41,,367,,347
