Day,January,February,March,April,May,June,July,August,September,October,November,December
1,441,352,177,182,238,115,266,81,64,108,281,370
2,443,364,175,176,174,143,245,95,64,125,303,429
3,354,330,188,159,245,159,139,71,70,105,314,346
4,151,316,278,171,173,196,140,69,68,91,382,362
5,140,133,255,205,175,124,149,99,88,115,462,305
6,226,199,204,279,156,134,144,104,122,114,437,322
7,255,232,256,250,142,180,178,101,98,127,428,255
8,234,303,207,153,173,205,164,109,70,167,390,237
9,301,305,283,170,166,305,144,101,75,171,404,289
10,245,291,175,181,136,221,97,101,79,168,372,314
11,243,330,242,186,151,145,94,122,61,166,411,281
12,293,341,218,241,115,133,90,114,60,179,471,254
13,354,334,209,231,121,83,80,118,89,171,437,331
14,429,351,209,199,132,124,83,116,69,182,330,367
15,460,313,206,220,140,113,83,114,70,198,353,363
16,407,327,258,238,166,115,90,121,79,284,403,368
17,347,324,311,128,191,108,117,150,62,298,375,329
18,372,302,315,154,93,81,94,152,69,46,347,291
19,404,311,279,187,78,70,62,167,82,69,380,271
20,283,250,234,191,58,62,81,111,82,221,374,332
21,296,296,244,134,85,84,74,69,83,199,349,402
22,364,288,196,140,94,127,83,59,69,170,311,407
23,326,250,244,126,237,218,68,82,68,173,290,423
24,364,278,175,125,169,146,99,100,64,160,361,415
25,323,298,148,192,140,163,107,115,80,82,400,431
26,330,229,150,256,149,135,86,114,75,139,406,459
27,318,203,199,284,150,168,98,134,108,232,402,283
28,357,208,233,312,106,161,61,147,120,268,405,305
29,387,,225,296,87,195,63,119,81,283,389,267
30,309,,232,287,101,206,76,81,84,268,328,286
31,289,,203,,135,,57,73,,289,,321
