Day,January,February,March,April,May,June,July,August,September,October,November,December
1,346,176,208,133,200,245,105,64,101,149,339,285
2,340,215,117,144,197,173,118,76,87,173,318,280
3,341,199,126,167,264,155,108,68,89,162,381,268
4,377,274,141,173,282,211,61,64,69,184,380,178
5,333,177,125,174,292,251,77,59,83,145,372,165
6,319,140,138,168,248,183,65,61,95,143,351,197
7,333,174,181,179,303,231,56,61,71,126,377,233
8,345,161,157,191,225,237,56,54,91,167,379,302
9,343,146,145,203,179,182,84,61,114,164,350,186
10,273,295,182,222,180,172,138,71,106,132,334,234
11,348,313,201,240,242,223,113,69,71,141,352,199
12,340,300,190,232,184,213,107,56,64,155,334,288
13,398,341,165,198,228,195,102,63,52,224,418,262
14,447,340,195,141,235,189,107,79,62,234,424,193
15,359,278,128,205,244,186,109,72,107,198,396,294
16,371,268,168,228,236,197,100,63,139,230,417,379
17,368,245,193,147,233,169,90,74,172,285,441,433
18,318,270,199,164,262,196,95,83,115,292,494,445
19,348,231,222,186,245,306,124,84,56,278,460,451
20,329,226,230,219,228,179,109,66,98,277,419,429
21,349,243,171,139,240,175,103,87,116,310,371,370
22,333,150,166,129,193,186,85,85,162,327,393,409
23,368,143,232,190,156,145,93,77,165,364,412,406
24,409,193,195,178,157,138,97,105,195,306,318,369
25,332,193,197,200,168,134,109,77,233,270,349,336
26,408,172,134,197,191,132,84,72,94,255,343,345
27,356,159,178,165,225,74,131,64,80,356,303,353
28,365,141,160,176,246,64,83,70,66,304,325,139
29,356,147,176,225,240,118,76,58,74,268,331,225
30,357,,190,189,230,115,97,102,126,307,346,173
31,391,,243,,192,,96,92,,328,,283
