Day,January,February,March,April,May,June,July,August,September,October,November,December
1,345,273,290,223,158,200,114,,69,170,354,343
2,337,327,258,177,240,220,102,,65,144,285,333
3,331,314,141,154,297,215,97,,80,159,327,355
4,381,336,173,165,214,237,,,106,220,357,391
5,321,260,200,108,332,204,,,91,254,363,380
6,351,306,177,109,284,204,,,86,187,356,296
7,278,148,197,351,293,126,108,,82,,449,191
8,288,254,194,269,278,103,93,,152,234,487,217
9,308,268,,130,259,141,148,,125,268,487,308
10,247,249,90,144,187,177,117,,154,238,470,378
11,280,239,68,162,218,118,93,,149,252,431,363
12,323,274,104,201,365,125,62,,118,273,491,225
13,326,279,150,282,316,139,71,,141,262,465,270
14,384,303,123,290,284,182,64,,191,,384,285
15,326,294,214,307,248,231,79,,215,272,354,284
16,355,284,207,291,272,154,90,,137,274,363,223
17,245,294,226,276,183,100,95,,126,316,307,199
18,317,236,185,307,235,117,100,,124,286,299,236
19,300,237,222,262,239,210,106,,152,293,291,297
20,216,243,241,221,221,89,88,,174,357,325,372
21,286,254,251,234,339,102,69,,175,396,325,446
22,365,236,242,244,228,124,55,,67,311,328,321
23,309,182,246,193,222,148,71,,59,287,316,228
24,336,226,244,164,224,159,60,116,105,294,335,309
25,366,208,197,189,196,195,68,141,143,352,337,384
26,324,256,177,153,250,160,63,114,177,324,361,342
27,118,226,164,,197,135,75,104,206,332,365,360
28,212,266,218,183,136,102,70,70,205,347,327,383
29,211,,,190,130,92,96,68,208,336,344,367
30,,,151,186,162,76,43,77,192,328,368,400
31,366,,176,,126,,48,92,,335,,406
